66v31d16042023;36;16.04.2023;14:00;66;Andorra;31;Huesca;1;0;74;26;12;6;8;2;3;3
59v46d15042023;36;15.04.2023;21:00;59;Burgos CF;46;Ponferradina;2;2;58;42;11;17;5;3;5;4
40v44d15042023;36;15.04.2023;18:30;40;Real Oviedo;44;Lugo;2;1;54;46;13;8;4;1;5;7
29v47d15042023;36;15.04.2023;18:30;29;Real Zaragoza;47;R. Racing Club;4;1;66;34;27;7;11;3;7;1
15v24d15042023;36;15.04.2023;16:15;15;Granada;24;Las Palmas;2;1;37;63;11;10;3;3;3;7
39v22d14042023;36;14.04.2023;21:00;39;Albacete;22;Eibar;3;1;38;62;16;11;8;1;4;6
30v66d10042023;35;10.04.2023;21:00;30;Alaves;66;Andorra;0;0;28;72;8;9;3;3;6;2
24v40d09042023;35;09.04.2023;21:00;24;Las Palmas;40;Real Oviedo;0;1;77;23;15;8;4;3;4;4
52v45d09042023;35;09.04.2023;18:30;52;Cartagena;45;Mirandes;1;0;57;43;10;8;2;4;2;6
46v27d09042023;35;09.04.2023;18:30;46;Ponferradina;27;Leganes;0;1;64;36;13;12;4;6;10;3
22v10d09042023;35;09.04.2023;16:15;22;Eibar;10;Levante;1;1;49;51;12;5;1;0;2;4
31v59d09042023;35;09.04.2023;14:00;31;Huesca;59;Burgos CF;2;1;48;52;20;12;9;5;4;3
47v39d08042023;35;08.04.2023;21:00;47;R. Racing Club;39;Albacete;4;1;36;64;19;16;10;4;3;6
60v23d08042023;35;08.04.2023;18:30;60;UD Ibiza;23;Real Sporting;1;3;61;39;13;9;6;6;9;3
29v15d08042023;35;08.04.2023;16:15;29;Real Zaragoza;15;Granada;1;0;36;64;13;9;6;2;4;4
67v11d07042023;35;07.04.2023;21:00;67;Villarreal B;11;Malaga;1;2;54;46;13;9;3;4;2;6
44v38d07042023;35;07.04.2023;18:30;44;Lugo;38;Tenerife;0;0;37;63;9;16;2;6;6;3
39v24d03042023;34;03.04.2023;21:00;39;Albacete;24;Las Palmas;1;2;33;67;19;12;5;4;1;7
45v60d02042023;34;02.04.2023;21:00;45;Mirandes;60;UD Ibiza;2;2;63;37;24;10;9;4;7;2
66v11d02042023;34;02.04.2023;18:30;66;Andorra;11;Malaga;1;0;72;28;14;5;3;0;6;3
23v15d02042023;34;02.04.2023;18:30;23;Real Sporting;15;Granada;1;0;35;65;8;14;3;2;9;3
44v46d02042023;34;02.04.2023;16:15;44;Lugo;46;Ponferradina;0;0;47;53;12;13;5;3;2;6
31v30d02042023;34;02.04.2023;14:00;31;Huesca;30;Alaves;0;1;45;55;9;5;1;2;5;5
40v22d01042023;34;01.04.2023;21:00;40;Real Oviedo;22;Eibar;1;1;45;55;12;12;1;3;11;2
27v52d01042023;34;01.04.2023;18:30;27;Leganes;52;Cartagena;1;3;40;60;9;6;1;3;2;2
